title,description,subjects,preprocesado_lema,preprocesado,texto_limpio,contador_palabras,subjects_old
Ozma of Oz,"When a storm blows Dorothy to the land of Ev where lunches grow on trees, she meets the Scarecrow, the Tin Woodman, the Cowardly Lion, and Princess Ozma, and together they set out to free the Queen of Ev and her ten children.",['fantasy'],when storm blow dorothy land ev where lunch grow tree she meet scarecrow tin woodman cowardly lion princess ozma together set out free queen ev her ten child,when storm blows dorothy land ev where lunches grow trees she meets scarecrow tin woodman cowardly lion princess ozma together set out free queen ev her ten children,"When a storm blows Dorothy to the land of Ev where lunches grow on trees, she meets the Scarecrow, the Tin Woodman, the Cowardly Lion, and Princess Ozma, and together they set out to free the Queen of Ev and her ten children.",28,['fantasy']
The Emerald City of Oz,"From the book:Perhaps I should admit on the title page that this book is ""By L. Frank Baum and his correspondents,"" for I have used many suggestions conveyed to me in letters from children. Once on a time I really imagined myself ""an author of fairy tales,"" but now I am merely an editor or private secretary for a host of youngsters whose ideas I am requestsed to weave into the thread of my stories. These ideas are often clever. They are also logical and interesting. So I have used them whenever I could find an opportunity, and it is but just that I acknowledge my indebtedness to my little friends.",['fantasy'],book perhaps should admit title page book frank baum his correspondent use many suggestion convey letter child once time really imagine myself author fairy tale now merely editor private secretary host youngster whose idea requestse weave into thread story idea often clever also logical interesting use whenever could find opportunity just acknowledge indebtedness little friend,book perhaps should admit title page book frank baum his correspondents used many suggestions conveyed letters children once time really imagined myself author fairy tales now merely editor private secretary host youngsters whose ideas requestsed weave into thread stories ideas often clever also logical interesting used whenever could find opportunity just acknowledge indebtedness little friends,"From the book:Perhaps I should admit on the title page that this book is ""By L. Frank Baum and his correspondents,"" for I have used many suggestions conveyed to me in letters from children. Once on a time I really imagined myself ""an author of fairy tales,"" but now I am merely an editor or private secretary for a host of youngsters whose ideas I am requestsed to weave into the thread of my stories. These ideas are often clever. They are also logical and interesting. So I have used them whenever I could find an opportunity, and it is but just that I acknowledge my indebtedness to my little friends.",55,['fantasy']
Dorothy and the Wizard in Oz,"Dorothy and the Wizard in Oz is the fourth book in Baum's Oz series. The series chronicles the further adventures of Dorothy both in and out of Oz, as she deals with the characters, situations and desires which continue to spill over from her first fateful adventure.",['fantasy'],dorothy wizard oz fourth book baum oz series series chronicle further adventure dorothy both out oz she deal character situation desire which continue spill over her first fateful adventure,dorothy wizard oz fourth book baum oz series series chronicles further adventures dorothy both out oz she deals characters situations desires which continue spill over her first fateful adventure,"Dorothy and the Wizard in Oz is the fourth book in Baum's Oz series. The series chronicles the further adventures of Dorothy both in and out of Oz, as she deals with the characters, situations and desires which continue to spill over from her first fateful adventure.",29,['fantasy']
The Lost Princess of Oz,"When Princess Ozma and all the magic of the Land of Oz are mysteriously stolen away, Dorothy and the other residents of Oz are determined to find their missing ruler and the thief responsible for her disappearance.",['fantasy'],when princess ozma all magic land oz mysteriously steal away dorothy other resident oz determined find miss ruler thief responsible her disappearance,when princess ozma all magic land oz mysteriously stolen away dorothy other residents oz determined find missing ruler thief responsible her disappearance,"When Princess Ozma and all the magic of the Land of Oz are mysteriously stolen away, Dorothy and the other residents of Oz are determined to find their missing ruler and the thief responsible for her disappearance.",22,['fantasy']
The Complete Life and Adventures of Santa Claus,"From the book:Have you heard of the great Forest of Burzee? Nurse used to sing of it when I was a child. She sang of the big tree-trunks, standing close together, with their roots intertwining below the earth and their branches intertwining above it; of their rough coating of bark and queer, gnarled limbs; of the bushy foliage that roofed the entire forest, save where the sunbeams found a path through which to touch the ground in little spots and to cast weird and curious shadows over the mosses, the lichens and the drifts of dried leaves.",['fantasy'],book hear great forest burzee nurse use sing when child she sing big tree trunk stand close together root intertwine below earth branch intertwine above rough coating bark queer gnarled limb bushy foliage roof entire forest save where sunbeam find path through which touch ground little spot cast weird curious shadow over moss lichen drift dry leave,book heard great forest burzee nurse used sing when child she sang big tree trunks standing close together roots intertwining below earth branches intertwining above rough coating bark queer gnarled limbs bushy foliage roofed entire forest save where sunbeams found path through which touch ground little spots cast weird curious shadows over mosses lichens drifts dried leaves,"From the book:Have you heard of the great Forest of Burzee? Nurse used to sing of it when I was a child. She sang of the big tree trunks, standing close together, with their roots intertwining below the earth and their branches intertwining above it; of their rough coating of bark and queer, gnarled limbs; of the bushy foliage that roofed the entire forest, save where the sunbeams found a path through which to touch the ground in little spots and to cast weird and curious shadows over the mosses, the lichens and the drifts of dried leaves.",57,['fantasy']
Alice's Adventures in Wonderland / Through the Looking Glass,"A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking-glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire-Cat, Tweedledum and Tweedledee--each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Carroll, one of the few adults ever to enter successfully the children's world of make-believe--a wonderland where the impossible becomes possible, the unreal, real...where the heights of adventure are limited only by the depths of imagination.
--back cover

Contains:

 - [Alice's Adventures in Wonderland](https://openlibrary.org/works/OL8193508W)
 - [Through the Looking Glass, and What Alice Found There][2]

  [2]: https://openlibrary.org/works/OL15298516W","['fantasy', 'literature']",very real little girl name alice follow remarkable rabbit down rabbit hole step through look glass come face face some strange adventure some odd character all literature crusty duchess mad hatter weep mock turtle diabolical queen hearts cheshire cat tweedledum tweedledee each one more eccentric more entertaining than last all could only come pen lewis carroll one few adult ever enter successfully child world make believe wonderland where impossible become possible unreal real where height adventure limit only depth imagination back cover,very real little girl named alice follows remarkable rabbit down rabbit hole steps through looking glass come face face some strangest adventures some oddest characters all literature crusty duchess mad hatter weeping mock turtle diabolical queen hearts cheshire cat tweedledum tweedledee each one more eccentric more entertaining than last all could only come pen lewis carroll one few adults ever enter successfully children world make believe wonderland where impossible becomes possible unreal real where heights adventure limited only depths imagination back cover,"A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire Cat, Tweedledum and Tweedledee  each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Carroll, one of the few adults ever to enter successfully the children's world of make believe  a wonderland where the impossible becomes possible, the unreal, real...where the heights of adventure are limited only by the depths of imagination.
  back cover",82,"['fantasy', 'humor', 'literature']"
The Sea Fairies,"This is a tale of life beneath the sea, of mermaids and sea serpents and other strange inhabitants of the ocean depths. A little girl named Trot and Cap'n Bill, an old sailor, are invited by several mermaids to come and visit their under-water home. Baum wrote this story in the hope of interesting his readers in something other than Oz; in the preface he writes: ""I hope my readers who have so long followed Dorothy's adventures in the Land of Oz will be interested in Trot's equally strange experiences."" Of course, he did not succeed in distracting his fans from Oz, yet the book was eagerly read; the result of this attempt was that he was forced to introduce Trot and Cap'n Bill into the later Oz stories.",['fantasy'],tale life beneath sea mermaid sea serpent other strange inhabitant ocean depths little girl name trot capn bill old sailor invite several mermaid come visit under water home baum write story hope interesting his reader something other than oz preface he write hope reader who long follow dorothy adventure land oz will interested trot equally strange experience course he succeed distract his fan oz yet book eagerly read result attempt he force introduce trot capn bill into later oz story,tale life beneath sea mermaids sea serpents other strange inhabitants ocean depths little girl named trot capn bill old sailor invited several mermaids come visit under water home baum wrote story hope interesting his readers something other than oz preface he writes hope readers who long followed dorothy adventures land oz will interested trot equally strange experiences course he succeed distracting his fans oz yet book eagerly read result attempt he forced introduce trot capn bill into later oz stories,"This is a tale of life beneath the sea, of mermaids and sea serpents and other strange inhabitants of the ocean depths. A little girl named Trot and Cap'n Bill, an old sailor, are invited by several mermaids to come and visit their under water home. Baum wrote this story in the hope of interesting his readers in something other than Oz; in the preface he writes: ""I hope my readers who have so long followed Dorothy's adventures in the Land of Oz will be interested in Trot's equally strange experiences."" Of course, he did not succeed in distracting his fans from Oz, yet the book was eagerly read; the result of this attempt was that he was forced to introduce Trot and Cap'n Bill into the later Oz stories.",80,['fantasy']
Sky Island,Button-Bright's adventures begin when he finds a magic umbrella that will carry him anywhere in the world.,['fantasy'],button bright adventure begin when he find magic umbrella will carry he anywhere world,button bright adventures begin when he finds magic umbrella will carry him anywhere world,Button Bright's adventures begin when he finds a magic umbrella that will carry him anywhere in the world.,14,['fantasy']
The Scarecrow of Oz,"The adventures of Trot and Cap'n Bill take them to Oz where they help solve the problem of Pom, whose truelove's heart has been turned to ice by witches.",['fantasy'],adventure trot capn bill take oz where help solve problem pom whose truelove heart turn ice witch,adventures trot capn bill take oz where help solve problem pom whose truelove heart turned ice witches,"The adventures of Trot and Cap'n Bill take them to Oz where they help solve the problem of Pom, whose truelove's heart has been turned to ice by witches.",17,['fantasy']
The Magic of Oz,"A young citizen of Oz who learns an important magic word falls prey to the wickedness of the Nomes' ex-king who wants to destroy Dorothy, the Wizard, and Princess Ozma.",['fantasy'],young citizen oz who learn important magic word fall prey wickedness nomes ex king who want destroy dorothy wizard princess ozma,young citizen oz who learns important magic word falls prey wickedness nomes ex king who wants destroy dorothy wizard princess ozma,"A young citizen of Oz who learns an important magic word falls prey to the wickedness of the Nomes' ex king who wants to destroy Dorothy, the Wizard, and Princess Ozma.",21,['fantasy']
Tik-Tok of Oz,"This book introduces Ann Soforth, Queen of Oogaboo, whom Tik-Tok, the clockwork man, assists in conquering the Nome King. Book 8 in L. Frank Baum's immortal OZ series, in which Betsy Bobbin and Hank the Mule are shipwrecked on the coast of Oz, meet up with the invading army of Queen Ann of Oogaboo, and help the Shaggy Man rescue his brother from the evil Nome King.",['fantasy'],book introduce ann soforth queen oogaboo whom tik tok clockwork man assist conquer nome king book frank baum immortal oz series which betsy bobbin hank mule shipwreck coast oz meet up invade army queen ann oogaboo help shaggy man rescue his brother evil nome king,book introduces ann soforth queen oogaboo whom tik tok clockwork man assists conquering nome king book frank baum immortal oz series which betsy bobbin hank mule shipwrecked coast oz meet up invading army queen ann oogaboo help shaggy man rescue his brother evil nome king,"This book introduces Ann Soforth, Queen of Oogaboo, whom Tik Tok, the clockwork man, assists in conquering the Nome King. Book 8 in L. Frank Baum's immortal OZ series, in which Betsy Bobbin and Hank the Mule are shipwrecked on the coast of Oz, meet up with the invading army of Queen Ann of Oogaboo, and help the Shaggy Man rescue his brother from the evil Nome King.",45,['fantasy']
Rinkitink in Oz,"When all the inhabitants of Pingaree are kidnapped by the mongrel hordes of twin island kingdoms, Prince Inga and his friend King Rinkitink decide to go to the rescue.",['fantasy'],when all inhabitant pingaree kidnap mongrel horde twin island kingdom prince inga his friend king rinkitink decide go rescue,when all inhabitants pingaree kidnapped mongrel hordes twin island kingdoms prince inga his friend king rinkitink decide go rescue,"When all the inhabitants of Pingaree are kidnapped by the mongrel hordes of twin island kingdoms, Prince Inga and his friend King Rinkitink decide to go to the rescue.",19,['fantasy']
The Enchanted Castle,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.",['fantasy'],nesbit classic story how gerald cathy jimmy find enchanted garden awake princess hundred year sleep only she immediately make invisible magic ring her rescue difficult funny sometimes frightening,nesbit classic story how gerald cathy jimmy find enchanted garden awake princess hundred year sleep only her immediately made invisible magic ring her rescue difficult funny sometimes frightening,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.",28,"['fantasy', 'magic']"
