title,description,subjects
Tik-Tok of Oz,"This book introduces Ann Soforth, Queen of Oogaboo, whom Tik-Tok, the clockwork man, assists in conquering the Nome King. Book 8 in L. Frank Baum's immortal OZ series, in which Betsy Bobbin and Hank the Mule are shipwrecked on the coast of Oz, meet up with the invading army of Queen Ann of Oogaboo, and help the Shaggy Man rescue his brother from the evil Nome King.",['fantasy']
Rinkitink in Oz,"When all the inhabitants of Pingaree are kidnapped by the mongrel hordes of twin island kingdoms, Prince Inga and his friend King Rinkitink decide to go to the rescue.",['fantasy']
The Enchanted Castle,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.","['fantasy', 'magic']"
The Tin Woodman of Oz,"From the book:The Tin Woodman sat on his glittering tin throne in the handsome tin hall of his splendid tin castle in the Winkie Country of the Land of Oz. Beside him, in a chair of woven straw, sat his best friend, the Scarecrow of Oz. At times they spoke to one another of curious things they had seen and strange adventures they had known since first they two had met and become comrades. But at times they were silent, for these things had been talked over many times between them, and they found themselves contented in merely being together, speaking now and then a brief sentence to prove they were wide awake and attentive. But then, these two quaint persons never slept. Why should they sleep, when they never tired?",['fantasy']
The Hobbit,"The Hobbit is a tale of high adventure, undertaken by a company of dwarves in search of dragon-guarded gold. A reluctant partner in this perilous quest is Bilbo Baggins, a comfort-loving unambitious hobbit, who surprises even himself by his resourcefulness and skill as a burglar.

Encounters with trolls, goblins, dwarves, elves, and giant spiders, conversations with the dragon, Smaug, and a rather unwilling presence at the Battle of Five Armies are just some of the adventures that befall Bilbo.

Bilbo Baggins has taken his place among the ranks of the immortals of children’s fiction. Written by Professor Tolkien for his children, The Hobbit met with instant critical acclaim when published.","['fantasy', 'magic', 'young_adult_fiction']"
Glinda of Oz,The Sorceress and Wizard of Oz attempt to save Princess Ozma and Dorothy from the dangers which threaten them when they try to bring peace to two warring tribes.,['fantasy']
The Magic City,"An extremely unhappy ten-year-old magically escapes into a city he has built out of books, chessmen, candlesticks, and other household items.",['fantasy']
The Phoenix and the Carpet,"Five British children discover in their new carpet an egg, which hatches into a phoenix that takes them on a series of fantastic adventures around the world.","['fantasy', 'magic']"
Nineteen Eighty-Four,"Nineteen Eighty-Four: A Novel, often referred to as 1984, is a dystopian social science fiction novel by the English novelist George Orwell (the pen name of Eric Arthur Blair). It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, Nineteen Eighty-Four centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated.

----------		
Also contained in:		
[Novels (Animal Farm / Burmese Days / Clergyman's Daughter / Coming Up for Air / Keep the Aspidistra Flying / Nineteen Eighty-Four)](https://openlibrary.org/works/OL1168045W)		
[Novels (Animal Farm / Nineteen Eighty-Four)](https://openlibrary.org/works/OL1167981W)
[Orwell's Nineteen Eighty-Four: Text, Sources, Criticism](https://openlibrary.org/works/OL1168095W)","['fantasy', 'literature', 'science_fiction']"
Le avventure di Pinocchio,A wooden puppet full of tricks and mischief wants more than anything else to become a real boy.,['fantasy']
Peter Pan,"The adventures of the three Darling children in Never-Never Land with Peter Pan, the boy who would not grow up.","['fantasy', 'plays']"
Le Tour du Monde en Quatre-Vingts Jours,"Phileas Fogg, a very punctual man had broken into an argument while conversing about the recent bank robbery. To keep his word of proving that he would travel around the world in 80 days and win the bet, he sets on a long trip, where he is joined by a few other people on the way. A wonderful adventure is about to begin!","['fantasy', 'historical_fiction', 'science_fiction', 'thriller']"
Phantastes,"One of George MacDonald's most important works, Phantastes is the story of a young man named Anotos and his long dreamlike journey in Fairy Land. It is the fairy tale of deep spiritual insight as Anotos makes his way through moments of uncertainty and peril and mistakes that can have irreversible consequences. This is also his spiritual quest that is destined to end with the supreme surrender of the self. When he finally experiences the hard-won surrender, a wave of joy overwhelms him. His intense personal introspection is honest as he is offered the full range of symbolic choices--great beauty, horrifying ugliness, irritating goblins, nurturing spirits. Each confrontation in Fairy Land allows Anotos to learn many necessary lessons. As he continues on the journey, many shadowy beings threaten his spiritual well-being and compel him to sing. The songs are irresistible to a beautiful White Lady who is freed from inside a statue by the music, and Anotos remains captivated by her for a long time. He sees the world more objectively; his trek invites a natural descent into feelings of pride and egotism. But his losses and sorrows coalesce themselves into things of grace, and these experiences help his spiritual growth.     Please Note:  This book has been reformatted to be easy to read in true text, not scanned images that can sometimes be difficult to decipher.  The Microsoft eBook has a contents page linked to the chapter headings for easy navigation. The Adobe eBook has bookmarks at chapter headings and is printable up to two full copies per year.  Both versions are text searchable.",['fantasy']
Le petit prince,"*Le Petit Prince* est une œuvre de langue française, la plus connue d'Antoine de Saint-Exupéry. Publié en 1943 à New York simultanément à sa traduction anglaise, c'est une œuvre poétique et philosophique sous l'apparence d'un conte pour enfants.

Traduit en quatre cent cinquante-sept langues et dialectes, *Le Petit Prince* est le deuxième ouvrage le plus traduit au monde après la Bible.

Le langage, simple et dépouillé, parce qu'il est destiné à être compris par des enfants, est en réalité pour le narrateur le véhicule privilégié d'une conception symbolique de la vie. Chaque chapitre relate une rencontre du petit prince qui laisse celui-ci perplexe, par rapport aux comportements absurdes des « grandes personnes ». Ces différentes rencontres peuvent être lues comme une allégorie.

Les aquarelles font partie du texte et participent à cette pureté du langage : dépouillement et profondeur sont les qualités maîtresses de l'œuvre.

On peut y lire une invitation de l'auteur à retrouver l'enfant en soi, car « toutes les grandes personnes ont d'abord été des enfants. (Mais peu d'entre elles s'en souviennent.) ». L'ouvrage est dédié à Léon Werth, mais « quand il était petit garçon ».

(Wikipedia)",['fantasy']
Harry Potter and the Philosopher's Stone,"Harry Potter #1

When mysterious letters start arriving on his doorstep, Harry Potter has never heard of Hogwarts School of Witchcraft and Wizardry.

They are swiftly confiscated by his aunt and uncle.

Then, on Harry’s eleventh birthday, a strange man bursts in with some important news: Harry Potter is a wizard and has been awarded a place to study at Hogwarts.

And so the first of the Harry Potter adventures is set to begin.
([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-philosophers-stone/","['fantasy', 'magic']"
Puck of Pook's Hill,"The children were at the Theatre, acting to Three Cows as much as they could remember of Midsummer Night's Dream.  Their father had made them a small play out of the big Shakespeare one, and they had rehearsed it with him and with their mother till they could say it by heart.  They began when Nick Bottom the weaver comes out of the bushes with a donkey's head on his shoulders, and finds Titania,  Queen of the Fairies, asleep.  The children are put in deep holes in the ground and then shot. The Queen of The Fairies was going to save them but she fell a sleep in the bushes.",['fantasy']
The Fellowship of the Ring,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

“A unique, wholly realized other world, evoked from deep in the well of Time, massively detailed, absorbingly entertaining, profound in meaning.”—The New York Times

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.","['fantasy', 'young_adult_fiction']"
The Two Towers,"The Lord of the Rings, J.R.R. Tolkien's three-volume epic, is set in the imaginary world of Middle-earth -- home to many strange beings, and most notably hobbits, a peace-loving ""little people,"" cheerful and shy. Since its original British publication in 1954-55, the saga has entranced readers of all ages. It is at once a classic myth and a modern fairy tale. Critic Michael Straight has hailed it as one of the ""very few works of genius in recent literature."" Middle-earth is a world receptive to poets, scholars, children, and all other people of good will. Donald Barr has described it as ""a scrubbed morning world, and a ringing nightmare world...especially sunlit, and shadowed by perils very fundamental, of a peculiarly uncompounded darkness."" The story of this world is one of high and heroic adventure. Barr compared it to Beowulf, C.S. Lewis to Orlando Furioso, W.H. Auden to The Thirty-nine Steps. In fact the saga is sui generis -- a triumph of imagination which springs to life within its own framework and on its own terms. - Jacket flap.

Frodo and the Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in the battle with an evil spirit in the Mines of Moria; and at the Falls of Rauros, Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape the rest of the company were attacked by Orcs. Now they continue their journey alone down the great River Anduin – alone, that is, save for the mysterious creeping figure that follows wherever they go. J.R.R. Tolkien’s great work of imaginative fiction has been labelled both a heroic romance and a classic fantasy fiction. By turns comic and homely, epic and diabolic, the narrative moves through countless changes of scene and character in an imaginary world which is totally convincing in its detail.

----------
**Also contained in:**

 - [The Lord of the Rings][1]


  [1]: https://openlibrary.org/works/OL27448W/The_Lord_of_the_Rings","['fantasy', 'magic']"
Harry Potter and the Chamber of Secrets,"Throughout the summer holidays after his first year at Hogwarts School of Witchcraft and Wizardry, Harry Potter has been receiving sinister warnings from a house-elf called Dobby.

Now, back at school to start his second year, Harry hears unintelligible whispers echoing through the corridors.

Before long the attacks begin: students are found as if turned to stone.

Dobby’s predictions seem to be coming true.

[Source][1]


  [1]: https://www.jkrowling.com/book/harry-potter-chamber-secrets/","['fantasy', 'humor', 'magic']"
The Return of the King,"THE RETURN OF THE KING, which brings to a close the great epic of war and adventure begun in The Fellowship of the Ring and continued in The Two Towers, is the third and final part of J. R. R. Tolkien's masterpiece, ""The Lord of the Rings.""

In these three books, which form one continuous narrative, Tolkien created the saga of the Hobbits of Middle-earth and the great War of the Rings. Praised by such writers and poets as W. H. Auden, Richard Hughes and C. S. Lewis, ""The Lord of the Rings"" - that special world of beauty and terror and meaning - holds a secure place among the books that will live.

----------
**Also contained in:**

 - [The Lord of the Rings][1]


  [1]: https://openlibrary.org/works/OL27448W/The_Lord_of_the_Rings","['fantasy', 'magic']"
The Royal Book of Oz,Scarecrow searches for his family tree and discovers that he is the Long Lost Emperor of the Silver Island.,['fantasy']
Harry Potter and the Prisoner of Azkaban,"For Harry Potter, it’s the start of another far-from-ordinary year at Hogwarts when the Knight Bus crashes through the darkness and comes to an abrupt halt in front of him.

It turns out that Sirius Black, mass-murderer and follower of Lord Voldemort, has escaped – and they say he is coming after Harry.

In his first Divination class, Professor Trelawney sees an omen of death in Harry’s tea leaves.

And perhaps most frightening of all are the Dementors patrolling the school grounds with their soul-sucking kiss – in search of fresh victims.

([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-prisoner-azkaban/","['fantasy', 'literature', 'magic']"
The Secret Agent,"**The Secret Agent: A Simple Tale** is a novel by Joseph Conrad, first published in 1907. The story is set in London in 1886 and deals with Mr. Adolf Verloc and his work as a spy for an unnamed country (presumably Russia). The Secret Agent is one of Conrad's later political novels in which he moved away from his former tales of seafaring. The novel is dedicated to H. G. Wells and deals broadly with anarchism, espionage, and terrorism. It also deals with exploitation of the vulnerable in Verloc's relationship with his brother-in-law Stevie, who has an intellectual disability. Conrad’s gloomy portrait of London depicted in the novel was influenced by Charles Dickens’ *Bleak House*.

(Source: [Wikipedia](https://en.wikipedia.org/wiki/The_Secret_Agent))","['fantasy', 'mystery_and_detective_stories', 'science_fiction']"
Мастер и Маргарита,"The battle of competing translations, a new publishing phenomenon which began with One Day in the Life of Ivan Denisovich, now offers two rival American editions of Mikhail Bulgakov's The Master and Margarita. Mirra Ginsburg's (Grove Press) version is pointedly grotesque: she delights in the sharp, spinning, impressionistic phrase. Her Bulgakov reminds one of the virtuoso effects encountered in Zamyatin and Babel, as yell as the early Pasternak's bizarre tale of Heine in Italy. Translator Michael Glenny, on the other hand, almost suggests Tolstoy. His (Harper & Row) version is simpler, softer, and more humane. The Bulgakov fantasy is less striking here, but less strident, too. Glenny: """"There was an oddness about that terrible day...It was the hour of the day when people feel too exhausted to breathe, when Moscow glows in a dry haze..."""" Ginsburg: """"Oh, yes, we must take note of the first strange thing...At that hour, when it no longer seemed possible to breathe, when the sun was tumbling in a dry haze..."""" In any case, The Master and Margarita, a product of intense labor from 1928 till Bulgakov's death in 1940, is a distinctive and fascinating work, undoubtedly a stylistic landmark in Soviet literature, both for its aesthetic subversion of """"socialist realism"""" (like Zamyatin, Bulgakov apparently believed that true literature is created by visionaries and skeptics and madmen), and for the purity of its imagination. Essentially the anti-scientific, vaguely anti-Stalinist tale presents a resurrected Christ figure, a demonic, tricksy foreign professor, and a Party poet, the bewildered Ivan Homeless, plus a bevy of odd or romantic types, all engaged in socio-political exposures, historical debates, and supernatural turnabouts. A humorous, astonishing parable on power, duplicity, freedom, and love.","['fantasy', 'humor', 'literature']"
The reluctant dragon,"The boy who finds the dragon in the cave knows it is a kindly, harmless one, but how can he convince the frightened villagers and especially St. George the dragon killer that there is no cause for concern?",['fantasy']
The Story of Doctor Dolittle,"There are some of us now reaching middle age who discover themselves to be lamenting the past in one respect if in none other, that there are no books written now for children comparable with those of thirty years ago.  I say written FOR children because the new psychological business of writing ABOUT them as though they were small pills or hatched in some especially scientific method is extremely popular today.",['fantasy']
"News from Nowhere, or, An epoch of rest","News from Nowhere (1890) is the most famous work of one of the greatest British writers and thinkers, William Morris. It is a utopian picture of a future communist society, drawing on the work of Ruskin and Marx and written in response to what Morris saw as soulless and mechanical visions of socialism.

In this work of his last years, Morris distilled many of his leading ideas on politics, art and society, imagining a world in which capitalism has been abolished by a workers' revolution and nature and society have become beautiful habitations for humanity. In an era that has seen the collapse of state socialism, Morris's damning critique of this conception, and his positing of a powerful alternative, are compelling reasons for paying attention to this classic of British socialism.",['fantasy']
Harry Potter and the Goblet of Fire,"The fourth book in the Harry Potter franchise sees Harry returning for his fourth year at Hogwarts School of Witchcraft and Wizardry, along with his friends, Ron and Hermione . There is an upcoming tournament between the three major schools of magic, with one participant selected from each school by the Goblet of Fire. When Harry's name is drawn, even though he is not eligible and is a fourth player, he must compete in the dangerous contest.


----------
Contains:

 - [Harry Potter and the Goblet of Fire. 2/4](https://openlibrary.org/works/OL17910198W/Harry_Potter_and_the_Goblet_of_Fire._2_4)","['fantasy', 'magic']"
Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory is a 1964 children's novel by British author Roald Dahl. The story features the adventures of young Charlie Bucket inside the chocolate factory of eccentric chocolatier Willy Wonka.

Charlie and the Chocolate Factory was first published in the United States by Alfred A. Knopf, Inc. in 1964 and in the United Kingdom by George Allen & Unwin 11 months later. 

In the 2012 survey published by SLJ, a monthly with primarily US audience, Charlie was the second of four books by Dahl among their Top 100 Chapter Books, one more than any other writer. Time magazine in the US included the novel in its list of the 100 Best Young-Adult Books of All Time.","['fantasy', 'plays', 'short_stories', 'young_adult_fiction']"
A Princess of Mars,"I am a very old man; how old I do not know. Possibly I am a hundred, possibly more; but I cannot tell because I have never aged as other men, nor do I remember any childhood. So far as I can recollect I have always been a man, a man of about thirty. I appear today as I did forty years and more ago, and yet I feel that I cannot go on living forever; that some day I shall die the real death from which there is no resurrection.
[Adventures of John Carter in Mars -- from the author of the Tarzan series.]","['fantasy', 'science_fiction']"
The Princess and the Goblin,"There was once a little princess whose father was king over a great country full of mountains and valleys. His palace was built upon one of the mountains, and was very grand and beautiful. The princess, whose name was Irene, was born there, but she was sent soon after her birth, because her mother was not very strong, to be brought up by country people in a large house, half castle, half farmhouse, on the side of another mountain, about half-way between its base and its peak.",['fantasy']
Cien años de soledad,"*Cien años de soledad* es una novela del escritor colombiano Gabriel García Márquez, ganador del Premio Nobel de Literatura en 1982. Es considerada una obra maestra de la literatura hispanoamericana y universal, cumbre del denominado ""realismo mágico"". Es asimismo una de las obras más traducidas y leídas en español. Narra la historia de la familia Buendía a lo largo de siete generaciones en el pueblo ficticio de Macondo.


----------


*Cien años de soledad* is considered the best work of García Márquez. A novel that narrates the vicisitudes of Aureliano Buendía in the mythic Macondo, a town in some unknown region of Colombia. This novel was written in the magic realism (""realismo mágico""), a style that mix together amazing elements taken by fiction and reality.","['fantasy', 'literature']"
Harry Potter and the Order of the Phoenix,"After the Dementors’ attack on his cousin Dudley, Harry knows he is about to become Voldemort’s next target.

Although many are denying the Dark Lord’s return, Harry is not alone, and a secret order is gathering at Grimmauld Place to fight against the Dark forces.

Meanwhile, Voldemort’s savage assaults on Harry’s mind are growing stronger every day.

He must allow Professor Snape to teach him to protect himself before he runs out of time.
([source][1])


----------
This work has also been published in multiple volumes. See:

 - [Harry Potter and the Order of the Phoenix: III](https://openlibrary.org/works/OL17937113W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_17-23)
 - [Harry Potter and the Order of the Phoenix: IV](https://openlibrary.org/works/OL17915213W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_24-30)

  [1]: https://www.jkrowling.com/book/harry-potter-order-phoenix/","['fantasy', 'magic']"
The wood beyond the world,"<p><a href=""https://standardebooks.org/ebooks/william-morris"">William Morris</a> is famous in no small part for his contributions to defining the genre of modern fantasy literature, and <i>The Wood Beyond the World</i> is a classic example of that influence. Written in a purposefully-antiquated prose style reminiscent of Sir Thomas Malory or other aged fairy tales, <i>The Wood Beyond the World</i> can be difficult for some readers; but those who follow through will enjoy a charming and influential series of picaresque adventures.</p>
			<p>The book follows Golden Walter, a man leaving home who finds himself swept away to an enchanted land. He encounters a fair maiden who is trapped by an enchantress and her consort. Walter must, like all good heroes, save the maiden and see if they can make it to happily ever after.</p>","['fantasy', 'science_fiction']"
The water-babies,"The story follows Tom in his land-life as a climbing boy for a chimney-sweep and in his after-life as a water-baby, where he gains redemption from selfishness as well as from drudgery. On to his fantasy Kingsley grafts a series of digressions and comic asides, through which he comments on a range of contemporary issues.",['fantasy']
Sylvie and Bruno,"Two little children meet adventure in such places as Dogland, Outland, and Elfland.","['fantasy', 'magic']"
Jurgen,"""Jurgen: A Comedy of Justice,"" an entry in the Poictesme series, is an epic fantasy voyage as well as an erotic fable. Cabell himself wrote: ""This fable is, as the world itself, a book wherein each man will find what his nature enables him to see; which gives us back each his own image; and which teaches us each the lesson that each of us desires to learn."" Jurgen was banned for decades because of its explicit content. It was, and remains, a groundbreaking early fantasy novel and a worthy addition to the Wildside Fantasy Classics line.",['fantasy']
The Horse and His Boy,A boy and a talking horse share an adventurous and dangerous journey to Narnia to warn of invading barbarians.,"['fantasy', 'magic']"
Wet Magic,"On a holiday at the seashore, Bernard, Mavis, Kathleen, and Francis save a mermaid from captivity and, after an incredible magic-filled journey beneath the waves, they must race against time to avert a war and save their underwater friends.",['fantasy']
The Magician's Nephew,"Digory let out a scream. “What's happened to Polly?” “Congratulate me, my dear boy,” said Uncle Andrew, rubbing his hands. “My experiment has succeeded. The little girl's gone – vanished – right out of this world.” When Digory and Polly discover Uncle Andrew's secret workshop, they are tricked into touching some magic rings that take them right out of this world. But even Uncle Andrew doesn't realise the wonders that lie ahead as they discover the gateway to the magical land of Narnia, where many thrilling adventures await them.","['fantasy', 'magic']"
Peter Pan in Kensington Gardens,<Nothing>,['fantasy']
The Master Key,A young boy accidentally summons the Demon of Electricity who gives him certain electrical gifts to show the world.,['fantasy']
